"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
1,18/03/14 07:54:49 AM,0.000,,,,
2,18/03/14 07:55:17 AM,,Logged,,,
3,18/03/15 10:00:41 PM,0.254,,,,
4,18/03/15 10:08:18 PM,0.508,,,,
5,18/03/15 10:16:07 PM,0.762,,,,
6,18/03/15 10:39:26 PM,1.016,,,,
7,18/03/16 02:28:05 PM,1.270,,,,
8,18/03/16 06:01:35 PM,1.524,,,,
9,18/03/16 06:30:37 PM,1.778,,,,
10,18/03/16 07:12:09 PM,2.032,,,,
11,18/03/16 07:18:03 PM,2.286,,,,
12,18/03/16 08:26:21 PM,2.540,,,,
13,18/03/16 08:28:58 PM,2.794,,,,
14,18/03/16 09:42:41 PM,3.048,,,,
15,18/03/16 11:12:44 PM,3.302,,,,
16,18/03/16 11:59:02 PM,3.556,,,,
17,18/03/17 12:28:39 AM,3.810,,,,
18,18/03/17 12:49:39 AM,4.064,,,,
19,18/03/17 12:55:16 AM,4.318,,,,
20,18/03/17 01:38:28 AM,4.572,,,,
21,18/03/17 02:20:16 AM,4.826,,,,
22,18/03/17 02:56:19 AM,5.080,,,,
23,18/03/17 03:26:04 AM,5.334,,,,
24,18/03/17 03:32:05 AM,5.588,,,,
25,18/03/17 03:52:34 AM,5.842,,,,
26,18/03/17 04:09:21 AM,6.096,,,,
27,18/03/17 04:15:00 AM,6.350,,,,
28,18/03/17 04:15:50 AM,6.604,,,,
29,18/03/17 04:16:15 AM,6.858,,,,
30,18/03/17 04:17:03 AM,7.112,,,,
31,18/03/17 05:00:37 AM,7.366,,,,
32,18/03/17 05:06:34 AM,7.620,,,,
33,18/03/17 05:17:47 AM,7.874,,,,
34,18/03/17 05:42:34 AM,8.128,,,,
35,18/03/17 11:31:21 PM,8.382,,,,
36,18/03/17 11:33:41 PM,8.636,,,,
37,18/03/17 11:35:02 PM,8.890,,,,
38,18/03/17 11:39:45 PM,9.144,,,,
39,18/03/17 11:45:27 PM,9.398,,,,
40,18/03/17 11:46:36 PM,9.652,,,,
41,18/03/17 11:47:49 PM,9.906,,,,
42,18/03/21 07:43:14 PM,10.160,,,,
43,18/03/21 07:43:39 PM,10.414,,,,
44,18/03/21 07:43:53 PM,10.668,,,,
45,18/03/21 07:44:10 PM,10.922,,,,
46,18/03/21 07:45:22 PM,11.176,,,,
47,18/03/21 08:10:57 PM,11.430,,,,
48,18/03/21 08:27:34 PM,11.684,,,,
49,18/03/21 08:50:28 PM,11.938,,,,
50,18/03/21 08:58:26 PM,12.192,,,,
51,18/03/21 09:03:09 PM,12.446,,,,
52,18/03/21 09:06:08 PM,12.700,,,,
53,18/03/21 09:08:47 PM,12.954,,,,
54,18/03/21 09:10:33 PM,13.208,,,,
55,18/03/21 09:11:24 PM,13.462,,,,
56,18/03/21 09:12:20 PM,13.716,,,,
57,18/03/21 09:13:07 PM,13.970,,,,
58,18/03/21 09:13:59 PM,14.224,,,,
59,18/03/21 09:18:03 PM,14.478,,,,
60,18/03/21 09:23:46 PM,14.732,,,,
61,18/03/21 09:25:52 PM,14.986,,,,
62,18/03/21 09:26:40 PM,15.240,,,,
63,18/03/21 09:27:17 PM,15.494,,,,
64,18/03/21 09:28:40 PM,15.748,,,,
65,18/03/21 09:29:48 PM,16.002,,,,
66,18/03/21 09:32:26 PM,16.256,,,,
67,18/03/21 09:35:53 PM,16.510,,,,
68,18/03/21 09:39:44 PM,16.764,,,,
69,18/03/21 09:41:17 PM,17.018,,,,
70,18/03/21 09:43:10 PM,17.272,,,,
71,18/03/21 09:44:27 PM,17.526,,,,
72,18/03/21 09:45:49 PM,17.780,,,,
73,18/03/21 09:46:46 PM,18.034,,,,
74,18/03/21 09:49:07 PM,18.288,,,,
75,18/03/21 09:51:12 PM,18.542,,,,
76,18/03/21 09:56:58 PM,18.796,,,,
77,18/03/21 10:04:58 PM,19.050,,,,
78,18/03/21 10:18:21 PM,19.304,,,,
79,18/03/21 10:28:01 PM,19.558,,,,
80,18/03/21 10:42:42 PM,19.812,,,,
81,18/03/21 10:55:11 PM,20.066,,,,
82,18/03/21 11:03:59 PM,20.320,,,,
83,18/03/21 11:09:24 PM,20.574,,,,
84,18/03/21 11:14:21 PM,20.828,,,,
85,18/03/21 11:19:32 PM,21.082,,,,
86,18/03/21 11:27:57 PM,21.336,,,,
87,18/03/21 11:31:11 PM,21.590,,,,
88,18/03/21 11:35:25 PM,21.844,,,,
89,18/03/21 11:40:22 PM,22.098,,,,
90,18/03/21 11:49:16 PM,22.352,,,,
91,18/03/22 12:04:37 AM,22.606,,,,
92,18/03/22 06:37:47 AM,22.860,,,,
93,18/03/22 09:39:52 AM,23.114,,,,
94,18/03/22 11:00:01 AM,23.368,,,,
95,18/03/22 11:00:40 AM,23.622,,,,
96,18/03/22 11:02:15 AM,23.876,,,,
97,18/03/22 11:02:29 AM,24.130,,,,
98,18/03/22 11:02:41 AM,24.384,,,,
99,18/03/22 11:02:51 AM,24.638,,,,
100,18/03/22 11:03:09 AM,24.892,,,,
101,18/03/22 11:03:34 AM,25.146,,,,
102,18/03/22 11:04:23 AM,25.400,,,,
103,18/03/22 11:05:14 AM,25.654,,,,
104,18/03/22 11:08:42 AM,25.908,,,,
105,18/03/22 11:10:53 AM,26.162,,,,
106,18/03/22 11:16:39 AM,26.416,,,,
107,18/03/22 11:38:03 AM,26.670,,,,
