"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)"
1,21/03/11 03:43:56 PM,0.000,,,,
2,21/03/11 03:44:03 PM,,Logged,,,
3,21/03/12 02:29:47 AM,0.254,,,,
4,21/03/12 02:29:57 AM,0.508,,,,
5,21/03/12 02:30:05 AM,0.762,,,,
6,21/03/12 02:30:12 AM,1.016,,,,
7,21/03/12 02:30:18 AM,1.270,,,,
8,21/03/12 02:30:25 AM,1.524,,,,
9,21/03/12 02:30:32 AM,1.778,,,,
10,21/03/12 02:30:39 AM,2.032,,,,
11,21/03/12 02:30:47 AM,2.286,,,,
12,21/03/12 02:30:54 AM,2.540,,,,
13,21/03/12 02:31:01 AM,2.794,,,,
14,21/03/12 02:31:09 AM,3.048,,,,
15,21/03/12 02:31:17 AM,3.302,,,,
16,21/03/12 02:31:24 AM,3.556,,,,
17,21/03/12 02:31:31 AM,3.810,,,,
18,21/03/12 02:31:40 AM,4.064,,,,
19,21/03/12 02:31:50 AM,4.318,,,,
20,21/03/12 02:32:01 AM,4.572,,,,
21,21/03/12 02:32:11 AM,4.826,,,,
22,21/03/12 02:32:21 AM,5.080,,,,
23,21/03/12 02:32:31 AM,5.334,,,,
24,21/03/12 02:32:44 AM,5.588,,,,
25,21/03/12 02:33:03 AM,5.842,,,,
26,21/03/12 02:33:16 AM,6.096,,,,
27,21/03/12 02:33:31 AM,6.350,,,,
28,21/03/12 02:35:11 AM,6.604,,,,
29,21/03/12 03:58:59 AM,6.858,,,,
30,21/03/12 04:04:28 AM,7.112,,,,
31,21/03/12 04:18:48 AM,7.366,,,,
32,21/03/12 04:30:23 AM,7.620,,,,
33,21/03/12 04:33:04 AM,7.874,,,,
34,21/03/12 04:33:34 AM,8.128,,,,
35,21/03/12 04:33:52 AM,8.382,,,,
36,21/03/12 04:34:05 AM,8.636,,,,
37,21/03/12 04:34:16 AM,8.890,,,,
38,21/03/12 04:34:29 AM,9.144,,,,
