"Plot Title: Sileza Camp"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102559, SEN S/N: 20102559)","Coupler Detached (LGR S/N: 20102559)","Coupler Attached (LGR S/N: 20102559)","Host Connected (LGR S/N: 20102559)","End Of File (LGR S/N: 20102559)"
1,20/09/08 10:13:37 AM,0.000,,,,
2,20/09/08 10:13:57 AM,,Logged,,,
3,20/09/16 12:46:40 AM,0.254,,,,
4,20/09/16 04:44:30 PM,0.508,,,,
5,20/09/16 06:06:40 PM,0.762,,,,
6,20/09/16 06:11:26 PM,1.016,,,,
7,20/09/16 09:22:36 PM,1.270,,,,
8,20/09/16 09:35:51 PM,1.524,,,,
9,20/09/16 09:46:00 PM,1.778,,,,
10,20/09/16 09:51:25 PM,2.032,,,,
11,20/09/16 10:17:17 PM,2.286,,,,
12,20/09/16 10:26:20 PM,2.540,,,,
13,20/09/21 02:13:57 PM,2.794,,,,
14,20/09/21 02:46:54 PM,3.048,,,,
15,20/09/21 02:52:06 PM,3.302,,,,
16,20/09/21 03:00:33 PM,3.556,,,,
17,20/09/21 03:17:15 PM,3.810,,,,
18,20/09/21 05:23:13 PM,4.064,,,,
19,20/09/21 05:58:19 PM,4.318,,,,
20,20/09/21 06:50:58 PM,4.572,,,,
21,20/09/21 08:34:22 PM,4.826,,,,
22,20/09/27 02:09:37 AM,5.080,,,,
23,20/09/27 02:12:59 AM,5.334,,,,
24,20/09/27 02:15:10 AM,5.588,,,,
25,20/09/27 02:19:11 AM,5.842,,,,
26,20/09/27 02:20:14 AM,6.096,,,,
27,20/09/27 02:21:39 AM,6.350,,,,
28,20/09/27 02:28:29 AM,6.604,,,,
29,20/09/27 02:34:09 AM,6.858,,,,
30,20/09/27 02:55:30 AM,7.112,,,,
31,20/09/27 04:13:32 AM,7.366,,,,
32,20/09/27 04:16:40 AM,7.620,,,,
33,20/09/27 04:17:57 AM,7.874,,,,
34,20/09/27 04:19:41 AM,8.128,,,,
35,20/09/27 04:23:39 AM,8.382,,,,
36,20/09/27 05:11:02 AM,8.636,,,,
37,20/09/27 07:12:21 AM,8.890,,,,
38,20/09/27 07:18:55 AM,9.144,,,,
39,20/09/27 07:21:50 AM,9.398,,,,
40,20/09/27 07:24:55 AM,9.652,,,,
41,20/09/27 07:37:43 AM,9.906,,,,
42,20/09/27 07:47:38 AM,10.160,,,,
43,20/09/27 07:57:11 AM,10.414,,,,
44,20/09/27 08:08:14 AM,10.668,,,,
45,20/09/27 08:30:55 AM,10.922,,,,
46,20/09/27 08:38:49 AM,11.176,,,,
47,20/09/27 09:04:47 AM,11.430,,,,
48,20/09/27 09:08:17 AM,11.684,,,,
49,20/09/27 09:10:59 AM,11.938,,,,
50,20/09/27 09:13:13 AM,12.192,,,,
51,20/09/27 09:15:52 AM,12.446,,,,
52,20/09/27 09:19:55 AM,12.700,,,,
53,20/09/27 09:27:12 AM,12.954,,,,
54,20/09/27 09:37:44 AM,13.208,,,,
55,20/09/27 10:04:59 AM,13.462,,,,
56,20/09/27 10:09:59 AM,13.716,,,,
57,20/09/27 10:23:07 AM,13.970,,,,
58,20/09/27 10:38:29 AM,14.224,,,,
59,20/09/27 11:21:12 AM,14.478,,,,
60,20/09/27 01:00:15 PM,14.732,,,,
61,20/09/28 03:25:57 AM,14.986,,,,
62,20/09/28 03:30:18 AM,15.240,,,,
63,20/09/28 03:36:46 AM,15.494,,,,
64,20/09/28 03:48:31 AM,15.748,,,,
65,20/09/28 05:46:20 PM,16.002,,,,
66,20/09/28 05:52:46 PM,16.256,,,,
67,20/09/28 06:10:55 PM,16.510,,,,
68,20/09/28 06:33:16 PM,16.764,,,,
69,20/09/28 06:39:21 PM,17.018,,,,
70,20/09/28 06:47:40 PM,17.272,,,,
71,20/09/28 06:54:02 PM,17.526,,,,
72,20/09/28 07:04:03 PM,17.780,,,,
73,20/09/28 07:10:34 PM,18.034,,,,
74,20/09/28 07:15:41 PM,18.288,,,,
75,20/09/28 07:23:47 PM,18.542,,,,
76,20/09/28 07:32:29 PM,18.796,,,,
77,20/09/28 08:09:25 PM,19.050,,,,
78,20/09/28 08:30:54 PM,19.304,,,,
79,20/09/28 09:49:09 PM,19.558,,,,
80,20/09/28 10:46:31 PM,19.812,,,,
81,20/09/28 11:12:00 PM,20.066,,,,
82,20/09/28 11:31:25 PM,20.320,,,,
83,20/09/29 12:07:50 AM,20.574,,,,
84,20/09/29 12:33:04 AM,20.828,,,,
85,20/09/29 12:58:40 AM,21.082,,,,
86,20/09/29 01:02:16 AM,21.336,,,,
87,20/09/29 01:10:34 AM,21.590,,,,
88,20/09/29 01:15:27 AM,21.844,,,,
89,20/09/29 01:22:37 AM,22.098,,,,
90,20/09/29 01:38:06 AM,22.352,,,,
91,20/09/29 01:59:56 AM,22.606,,,,
92,20/09/29 02:09:24 AM,22.860,,,,
93,20/09/29 02:11:04 AM,23.114,,,,
94,20/09/29 02:18:49 AM,23.368,,,,
95,20/09/29 02:23:02 AM,23.622,,,,
96,20/09/29 02:35:00 AM,23.876,,,,
97,20/09/29 02:39:15 AM,24.130,,,,
98,20/09/29 02:42:10 AM,24.384,,,,
99,20/09/29 02:44:33 AM,24.638,,,,
100,20/09/29 02:48:20 AM,24.892,,,,
101,20/09/29 02:49:47 AM,25.146,,,,
102,20/09/29 02:51:34 AM,25.400,,,,
103,20/09/29 02:54:00 AM,25.654,,,,
104,20/09/29 03:02:19 AM,25.908,,,,
105,20/09/29 03:11:02 AM,26.162,,,,
106,20/09/29 03:13:31 AM,26.416,,,,
107,20/09/29 03:15:17 AM,26.670,,,,
108,20/09/29 03:17:23 AM,26.924,,,,
109,20/09/29 03:20:30 AM,27.178,,,,
110,20/09/29 03:24:04 AM,27.432,,,,
111,20/09/29 03:29:22 AM,27.686,,,,
112,20/09/29 03:36:18 AM,27.940,,,,
113,20/09/29 03:41:07 AM,28.194,,,,
114,20/09/29 03:44:24 AM,28.448,,,,
115,20/09/29 03:46:44 AM,28.702,,,,
116,20/09/29 03:50:42 AM,28.956,,,,
117,20/09/29 03:59:54 AM,29.210,,,,
118,20/09/29 04:13:44 AM,29.464,,,,
119,20/09/29 04:16:44 AM,29.718,,,,
120,20/09/29 04:21:04 AM,29.972,,,,
121,20/09/29 04:23:05 AM,30.226,,,,
122,20/09/29 04:24:38 AM,30.480,,,,
123,20/09/29 04:27:38 AM,30.734,,,,
124,20/09/29 04:36:54 AM,30.988,,,,
125,20/09/29 04:47:47 AM,31.242,,,,
126,20/09/29 04:50:12 AM,31.496,,,,
127,20/09/29 04:54:40 AM,31.750,,,,
128,20/09/29 04:57:47 AM,32.004,,,,
129,20/09/29 05:00:25 AM,32.258,,,,
130,20/09/29 05:02:33 AM,32.512,,,,
131,20/09/29 05:06:21 AM,32.766,,,,
132,20/09/29 05:09:10 AM,33.020,,,,
133,20/09/29 05:12:46 AM,33.274,,,,
134,20/09/29 05:18:15 AM,33.528,,,,
135,20/09/29 05:42:08 AM,33.782,,,,
136,20/09/29 06:55:28 AM,34.036,,,,
137,20/09/29 05:48:43 PM,34.290,,,,
138,20/09/29 06:27:33 PM,34.544,,,,
139,20/09/29 07:23:21 PM,34.798,,,,
140,20/09/29 07:24:57 PM,35.052,,,,
141,20/09/29 07:29:27 PM,35.306,,,,
142,20/09/29 09:56:48 PM,35.560,,,,
143,20/09/30 02:56:29 AM,35.814,,,,
144,20/09/30 03:06:28 AM,36.068,,,,
145,20/09/30 03:24:43 AM,36.322,,,,
146,20/09/30 04:19:12 AM,36.576,,,,
147,20/10/01 02:03:17 PM,36.830,,,,
148,20/10/01 02:27:29 PM,37.084,,,,
149,20/10/01 08:05:15 PM,37.338,,,,
150,20/10/01 08:09:16 PM,37.592,,,,
151,20/10/01 08:12:16 PM,37.846,,,,
152,20/10/01 08:14:44 PM,38.100,,,,
153,20/10/01 08:16:04 PM,38.354,,,,
154,20/10/01 08:18:17 PM,38.608,,,,
155,20/10/01 08:20:48 PM,38.862,,,,
156,20/10/01 08:23:54 PM,39.116,,,,
157,20/10/01 08:26:25 PM,39.370,,,,
158,20/10/01 08:29:33 PM,39.624,,,,
159,20/10/01 08:32:54 PM,39.878,,,,
160,20/10/01 08:36:37 PM,40.132,,,,
161,20/10/01 08:39:33 PM,40.386,,,,
162,20/10/01 08:45:14 PM,40.640,,,,
163,20/10/01 08:50:39 PM,40.894,,,,
164,20/10/01 10:56:31 PM,41.148,,,,
165,20/10/02 12:04:38 AM,41.402,,,,
166,20/10/02 02:18:55 AM,41.656,,,,
167,20/10/02 02:22:42 AM,41.910,,,,
168,20/10/02 02:27:57 AM,42.164,,,,
169,20/10/02 02:42:57 AM,42.418,,,,
170,20/10/02 02:59:35 AM,42.672,,,,
171,20/10/02 04:32:13 AM,42.926,,,,
172,20/10/02 04:50:08 AM,43.180,,,,
173,20/10/02 06:21:51 AM,43.434,,,,
174,20/10/02 01:49:54 PM,43.688,,,,
175,20/10/02 11:14:11 PM,43.942,,,,
176,20/10/03 02:09:35 AM,44.196,,,,
177,20/10/03 02:34:30 AM,44.450,,,,
178,20/10/03 02:46:03 AM,44.704,,,,
179,20/10/03 02:57:47 AM,44.958,,,,
180,20/10/03 03:27:18 AM,45.212,,,,
181,20/10/03 03:38:40 AM,45.466,,,,
182,20/10/03 03:57:23 AM,45.720,,,,
183,20/10/03 04:10:41 AM,45.974,,,,
184,20/10/03 04:28:14 AM,46.228,,,,
185,20/10/03 04:36:02 AM,46.482,,,,
186,20/10/03 04:46:43 AM,46.736,,,,
187,20/10/03 04:51:36 AM,46.990,,,,
188,20/10/03 05:04:55 AM,47.244,,,,
189,20/10/03 05:15:57 AM,47.498,,,,
190,20/10/03 05:21:12 AM,47.752,,,,
191,20/10/03 05:26:12 AM,48.006,,,,
192,20/10/03 05:40:05 AM,48.260,,,,
193,20/10/03 05:54:32 AM,48.514,,,,
194,20/10/03 06:15:46 AM,48.768,,,,
195,20/10/03 06:24:11 AM,49.022,,,,
196,20/10/03 06:29:48 AM,49.276,,,,
197,20/10/03 06:36:07 AM,49.530,,,,
198,20/10/03 06:44:47 AM,49.784,,,,
199,20/10/03 06:55:12 AM,50.038,,,,
200,20/10/03 07:05:21 AM,50.292,,,,
201,20/10/03 10:47:40 AM,50.546,,,,
202,20/10/05 01:34:39 AM,50.800,,,,
203,20/10/05 01:36:39 AM,51.054,,,,
204,20/10/05 01:37:15 AM,51.308,,,,
205,20/10/05 01:37:57 AM,51.562,,,,
206,20/10/05 01:38:34 AM,51.816,,,,
207,20/10/05 01:39:28 AM,52.070,,,,
208,20/10/05 01:40:14 AM,52.324,,,,
209,20/10/05 01:40:54 AM,52.578,,,,
210,20/10/05 01:41:40 AM,52.832,,,,
211,20/10/05 01:48:48 AM,53.086,,,,
212,20/10/05 01:56:15 AM,53.340,,,,
213,20/10/05 02:21:51 AM,53.594,,,,
214,20/10/05 02:29:06 AM,53.848,,,,
215,20/10/05 02:29:57 AM,54.102,,,,
216,20/10/05 02:31:04 AM,54.356,,,,
217,20/10/05 02:32:56 AM,54.610,,,,
218,20/10/05 02:35:35 AM,54.864,,,,
219,20/10/05 02:41:52 AM,55.118,,,,
220,20/10/05 07:03:54 AM,55.372,,,,
221,20/10/05 09:15:57 AM,55.626,,,,
222,20/10/05 09:18:18 AM,55.880,,,,
223,20/10/05 09:29:34 AM,56.134,,,,
224,20/10/05 09:47:11 AM,56.388,,,,
225,20/10/05 09:58:14 AM,56.642,,,,
226,20/10/05 10:04:58 AM,56.896,,,,
227,20/10/11 06:42:16 PM,57.150,,,,
228,20/10/11 06:46:09 PM,57.404,,,,
229,20/10/11 06:49:08 PM,57.658,,,,
230,20/10/11 06:51:02 PM,57.912,,,,
231,20/10/11 06:55:32 PM,58.166,,,,
232,20/10/11 07:19:49 PM,58.420,,,,
233,20/10/11 07:45:06 PM,58.674,,,,
234,20/10/11 07:55:59 PM,58.928,,,,
235,20/10/11 10:21:42 PM,59.182,,,,
236,20/10/13 09:46:29 AM,,,Logged,,
237,20/10/13 09:46:38 AM,,,,Logged,
238,20/10/13 09:46:46 AM,,,,Logged,
239,20/10/13 09:48:56 AM,59.182,,,,Logged
