"Plot Title: Coastal Cashews"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20116788, SEN S/N: 20116788)","Coupler Detached (LGR S/N: 20116788)","Coupler Attached (LGR S/N: 20116788)","Host Connected (LGR S/N: 20116788)","End Of File (LGR S/N: 20116788)"
1,19/08/13 03:33:12 PM,0.000,,,,
2,19/08/13 03:33:50 PM,,Logged,,,
3,19/08/17 08:49:20 PM,0.254,,,,
4,19/08/17 10:09:12 PM,0.508,,,,
5,19/08/18 02:12:51 AM,0.762,,,,
6,19/09/05 07:10:39 PM,1.016,,,,
7,19/09/05 08:40:41 PM,1.270,,,,
8,19/09/05 08:41:37 PM,1.524,,,,
9,19/09/05 08:43:10 PM,1.778,,,,
10,19/09/05 08:54:45 PM,2.032,,,,
11,19/09/05 08:58:48 PM,2.286,,,,
12,19/09/05 09:21:53 PM,2.540,,,,
13,19/09/05 09:26:38 PM,2.794,,,,
14,19/09/05 09:28:52 PM,3.048,,,,
15,19/09/05 09:30:08 PM,3.302,,,,
16,19/09/05 09:31:47 PM,3.556,,,,
17,19/09/05 09:33:35 PM,3.810,,,,
18,19/09/05 09:35:24 PM,4.064,,,,
19,19/09/05 09:39:28 PM,4.318,,,,
20,19/09/05 09:59:45 PM,4.572,,,,
21,19/09/05 10:47:17 PM,4.826,,,,
22,19/09/05 11:09:11 PM,5.080,,,,
23,19/09/05 11:14:33 PM,5.334,,,,
24,19/09/05 11:19:28 PM,5.588,,,,
25,19/09/05 11:20:26 PM,5.842,,,,
26,19/09/05 11:22:49 PM,6.096,,,,
27,19/09/06 12:35:59 AM,6.350,,,,
28,19/09/06 12:43:24 AM,6.604,,,,
29,19/09/06 12:46:20 AM,6.858,,,,
30,19/09/06 12:48:45 AM,7.112,,,,
31,19/09/06 12:53:24 AM,7.366,,,,
32,19/09/06 01:02:45 AM,7.620,,,,
33,19/09/06 01:05:41 AM,7.874,,,,
34,19/09/06 01:12:16 AM,8.128,,,,
35,19/09/06 01:51:53 AM,8.382,,,,
36,19/09/06 02:13:34 AM,8.636,,,,
37,19/09/06 02:32:52 AM,8.890,,,,
38,19/09/06 02:42:05 AM,9.144,,,,
39,19/09/06 02:45:52 AM,9.398,,,,
40,19/09/06 03:23:35 AM,9.652,,,,
41,19/09/06 04:13:29 AM,9.906,,,,
42,19/09/06 05:02:33 AM,10.160,,,,
43,19/09/06 05:14:26 AM,10.414,,,,
44,19/09/06 05:21:09 AM,10.668,,,,
45,19/09/06 05:46:38 AM,10.922,,,,
46,19/09/06 09:02:10 AM,11.176,,,,
47,19/09/06 09:27:21 AM,11.430,,,,
48,19/09/06 09:58:45 AM,11.684,,,,
49,19/09/06 10:40:51 AM,11.938,,,,
50,19/09/06 10:42:30 AM,12.192,,,,
51,19/09/06 10:46:37 AM,12.446,,,,
52,19/09/06 11:06:41 AM,12.700,,,,
53,19/09/06 11:36:58 AM,12.954,,,,
54,19/09/06 01:58:39 PM,13.208,,,,
55,19/09/06 07:36:33 PM,13.462,,,,
56,19/09/11 11:42:43 AM,,,Logged,,
57,19/09/11 11:42:50 AM,,,,Logged,
58,19/09/11 11:43:16 AM,13.716,,,,
59,19/09/11 11:43:56 AM,,Logged,,,
60,19/09/11 11:43:57 AM,13.970,,,,
61,19/09/14 01:10:20 AM,14.224,,,,
62,19/09/14 01:31:08 AM,14.478,,,,
63,19/09/14 01:43:58 AM,14.732,,,,
64,19/09/14 02:02:22 AM,14.986,,,,
65,19/09/14 03:32:45 AM,15.240,,,,
66,19/09/14 03:41:29 AM,15.494,,,,
67,19/09/14 03:56:39 AM,15.748,,,,
68,19/09/14 04:34:55 AM,16.002,,,,
69,19/09/15 05:07:47 AM,16.256,,,,
70,19/09/25 07:48:18 AM,16.510,,,,
71,19/09/25 08:08:04 AM,16.764,,,,
72,19/09/25 08:11:46 AM,17.018,,,,
73,19/09/25 08:20:06 AM,17.272,,,,
74,19/09/25 08:25:48 AM,17.526,,,,
75,19/09/25 10:07:05 AM,17.780,,,,
76,19/09/25 10:24:48 AM,18.034,,,,
77,19/09/25 11:20:38 AM,18.288,,,,
78,19/09/25 11:22:12 AM,18.542,,,,
79,19/09/25 12:05:09 PM,18.796,,,,
80,19/09/26 01:01:25 AM,19.050,,,,
81,19/09/26 02:30:31 AM,19.304,,,,
82,19/09/26 08:24:07 AM,19.558,,,,
83,19/10/01 12:35:15 AM,19.812,,,,
84,19/10/01 12:42:14 AM,20.066,,,,
85,19/10/01 12:49:59 AM,20.320,,,,
86,19/10/01 01:34:06 AM,20.574,,,,
87,19/10/01 01:49:04 AM,20.828,,,,
88,19/10/01 01:58:35 AM,21.082,,,,
89,19/10/01 02:10:58 AM,21.336,,,,
90,19/10/01 02:29:17 AM,21.590,,,,
91,19/10/01 03:04:12 AM,21.844,,,,
92,19/10/01 03:22:40 AM,22.098,,,,
93,19/10/01 03:52:29 AM,22.352,,,,
94,19/10/01 04:51:16 AM,22.606,,,,
95,19/10/01 04:58:59 AM,22.860,,,,
96,19/10/01 05:04:13 AM,23.114,,,,
97,19/10/01 05:12:25 AM,23.368,,,,
98,19/10/01 05:56:20 AM,23.622,,,,
99,19/10/01 10:39:09 AM,23.876,,,,
100,19/10/01 01:22:39 PM,24.130,,,,
101,19/10/01 03:56:20 PM,24.384,,,,
102,19/10/01 03:57:14 PM,24.638,,,,
103,19/10/01 03:58:38 PM,24.892,,,,
104,19/10/01 04:01:17 PM,25.146,,,,
105,19/10/01 04:02:57 PM,25.400,,,,
106,19/10/01 04:04:57 PM,25.654,,,,
107,19/10/01 04:57:14 PM,25.908,,,,
108,19/10/02 06:20:24 AM,26.162,,,,
109,19/10/02 06:35:23 AM,26.416,,,,
110,19/10/02 06:39:50 AM,26.670,,,,
111,19/10/02 06:45:23 AM,26.924,,,,
112,19/10/02 06:51:10 AM,27.178,,,,
113,19/10/02 07:06:45 AM,27.432,,,,
114,19/10/08 06:36:08 PM,27.686,,,,
115,19/10/08 06:40:41 PM,27.940,,,,
116,19/10/08 06:44:03 PM,28.194,,,,
117,19/10/08 07:11:56 PM,28.448,,,,
